"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","sndp","num_offences"
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,73.8,8.7,10,999.9,1.64035393213221
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,71.2,5,9.8,999.9,0.647659574054103
"82",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,62.8,5,6.3,999.9,0.616957686690863
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,56.2,4.8,5.2,999.9,-0.109653647572497
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,57.6,6.1,6.7,999.9,-0.314332896660767
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2012,43.2,13.5,10,999.9,-0.866966869199097
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,50.1,14.9,10,999.9,-0.488310258385797
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,63.8,13.4,10,999.9,-0.048249872846016
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,46.1,8.3,10,999.9,0.330406737967284
"89",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,45.4,8.1,8.4,999.9,0.25876900078639
"90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,42.2,8.4,9.4,999.9,-0.385970633841662
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,49.2,6.8,5.9,999.9,0.852338823142374
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,51.9,10.9,8.6,999.9,-0.897668756562338
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,57.7,7.9,10,999.9,-0.324566859115181
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,51.5,13.4,10,999.9,-0.519012145749038
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,45.6,15.1,10,999.9,-0.355268746478421
"96",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,43.6,8.3,10,999.9,-0.130121572481324
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,49.5,5.8,10,999.9,0.606723724236449
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,56.7,10.9,10,999.9,-0.979540456197646
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,54.3,11.6,10,999.9,0.0233878643348787
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,43,12.2,10,999.9,-0.733925357291722
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,41.8,7.3,10,999.9,0.0438557892437057
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,46.7,3.6,10,999.9,0.0745576766069463
"103",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,53.7,9.1,10,999.9,0.238301075877563
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,59,8.8,10,999.9,0.28947088814963
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,67.3,11.6,8.8,999.9,0.627191649145276
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,60,20.3,9.6,999.9,0.156429376242254
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,48.5,6.6,10,999.9,0.442980324965833
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,54.1,9,10,999.9,-0.375736671387249
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,58,7.9,10,999.9,0.46344824987466
"110",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,45.3,9.9,9.5,999.9,0.0131539018804651
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,44.5,9.5,10,999.9,-0.406438558750489
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,46.1,10.4,10,999.9,-0.938604606379992
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,48.6,10.7,10,999.9,0.197365226059908
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,51.6,4.7,10,999.9,-0.201759309662219
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,55.2,5.3,9.8,999.9,0.371342587784938
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,51.3,10.5,8.5,999.9,0.0950256015157733
"117",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,44.2,7.9,10,999.9,0.483916174783487
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,46.6,11.6,9.7,999.9,-0.385970633841662
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,48.7,10,10,999.9,-1.15351781792268
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,54.3,6,7.4,999.9,-0.478076295931384
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,57.8,5.7,6.7,999.9,1.52778034513367
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,67.3,8.9,6.7,999.9,0.831870898233547
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2012,75.6,10.2,10,999.9,0.66812749896293
"124",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2012,66.9,7.7,8.9,999.9,1.17982562168361
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,56.6,7.1,4.2,999.9,0.350874662876111
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,58.4,8,8.3,999.9,-0.733925357291722
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,60.3,5.4,6.2,999.9,0.586255799327622
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,61.1,6.6,8.4,999.9,1.11842184695713
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,56.9,7.8,9.8,999.9,0.627191649145276
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2012,55.4,5.5,10,999.9,0.00291993942605163
"131",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2012,61,7.2,10,999.9,0.84210486068796
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,64.5,9.8,10,999.9,0.166663338696668
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,61,7,10,999.9,-0.98977441865206
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,63.8,3.1,10,999.9,0.903508635414441
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,71.3,9.3,10,999.9,1.28216524622774
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,61.2,11.1,9.8,999.9,0.320172775512871
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2012,59.7,4.8,10,999.9,0.391810512693765
