"","temp","wdsp","visib","num_offences"
"219",74.3,4.1,10,0.473682212329073
"220",77.3,6.1,10,0.371342587784938
"221",79.1,7.3,10,0.596489761782036
"222",72.4,8.2,9.6,0.207599188514322
"223",67.1,12.2,9.8,-0.0175479854827754
"224",67.1,9.1,10,0.801169010870306
"225",68.3,3.6,10,0.299704850604044
"226",66.4,2,8.2,-0.488310258385797
"227",68,4.5,7.5,0.46344824987466
"228",73.9,4.4,10,1.50731242022484
"229",73,8.7,9.5,0.217833150968736
"230",67,7.7,10,0.494150137237901
"231",66.4,3.2,10,0.719297311234998
"232",69.1,3.5,10,0.248535038331976
"233",68.4,5.9,10,-0.232461197025459
"234",66.8,3.2,10,0.0540897516981192
"235",69.3,4.9,10,-0.2631630843887
"236",76.3,6.4,10,1.17982562168361
"237",79.6,7.6,10,1.19005958413802
"238",80.9,7.2,10,1.69152374440428
"239",74.4,7.3,9.1,-0.109653647572497
"240",74.8,5.3,8.6,-0.140355534935738
"241",74.5,4.1,10,0.381576550239352
"242",74.3,4.4,10,0.402044475148179
"243",76.5,8.8,10,0.135961451333427
"244",81.7,9.1,10,1.01608222241299
"246",75.2,10,10,-0.211993272116632
"247",78,6.3,9.2,-0.2631630843887
"248",78.9,4.6,9.2,-0.0175479854827754
"249",73.1,8.9,9.6,-0.559947995566692
"250",77.7,5.3,10,1.04678410977623
"251",72,6.3,9.8,0.453214287420246
"252",62.7,11.6,10,0.709063348780584
"253",62.5,8.9,9.9,-0.0584838353004295
"254",63.7,4.6,10,-0.355268746478421
"255",68,9.5,10,-0.0277819479371889
"256",73.5,9.3,10,0.207599188514322
"257",66.9,8.4,10,-0.488310258385797
"258",61.2,7.2,9.8,0.831870898233547
"259",65.4,3.6,10,0.995614297504163
"260",65.2,5,10,-0.191525347207805
"261",65.8,5.8,9.9,-0.150589497390151
"262",56.7,12.2,9.7,-0.856732906744684
"263",56.1,9.8,10,-0.0175479854827754
"264",64.1,11.3,10,0.0438557892437057
"265",54.9,6,9.7,0.852338823142374
"266",51.6,9.4,9.6,-0.457608371022557
"267",50.8,6.8,10,-0.907902719016751
"268",52.6,7.4,10,-0.478076295931384
"269",63.6,9.1,10,0.0643237141525327
"270",62.6,8.2,9.6,0.187131263605495
"271",56,7.6,10,-0.785095169563789
"272",58.3,10,10,0.688595423871757
"273",60.2,4.2,10,0.555553911964382
"274",58.5,7,10,-0.478076295931384
"275",56.5,4.2,10,1.41520675813512
"276",60.4,7.7,10,-0.08918572266367
"277",61.5,4.9,7.5,0.0438557892437057
"278",63.1,8.6,8.8,-0.365502708932835
"279",48.3,8.2,10,-0.00731402302836189
"280",42.7,8.8,10,-1.11258196810502
"281",44.5,7.4,10,-1.49123857891832
"282",44,9.8,10,-0.150589497390151
"283",53.8,14.6,10,-0.242695159479873
"284",45.2,12.3,9.6,0.473682212329073
"285",49.1,12.2,10,-0.508778183294624
"286",47.4,10,10,0.494150137237901
"287",50.7,9.7,8.7,-0.416672521204903
"288",64.4,13.4,6.3,-0.570181958021105
"289",50.7,10.3,9.9,0.238301075877563
"290",51.6,9.3,9.9,-0.426906483659316
"291",63.4,15.5,9.7,0.412278437602592
"292",51.6,14.6,9.2,-0.181291384753392
"293",46.6,7.5,9.9,0.279236925695217
"294",48,7.5,10,0.473682212329073
"295",49.9,4.8,9.5,0.1154935264246
"296",57.6,5.7,9.5,-0.785095169563789
"297",62.6,5.9,4.5,-0.232461197025459
"298",67.4,8.1,10,1.05701807223064
"299",69.9,15.5,10,-0.662287620110827
"300",44.7,10.8,9.9,0.483916174783487
"301",41.4,8.7,10,-0.559947995566692
"302",42.6,11,10,-0.907902719016751
"303",42.5,12.1,10,-0.84649894429027
"304",42.4,16.7,10,-0.43714044611373
"305",41.3,13.7,10,0.371342587784938
"306",43.2,8.2,10,1.6301199696778
"307",42.1,7.9,10,0.166663338696668
"308",41.7,5.8,10,-1.16375178037709
"309",39.8,5.9,10,-1.89036311464045
"310",39.2,4.7,10,-0.252929121934286
"311",36.6,5.1,8.7,-1.32749517964771
"312",42.2,4.4,4.6,-0.416672521204903
"313",43.6,4.8,6.5,-0.641819695202
"314",41.8,5.5,6.9,0.872806748051201
"315",55.1,6.7,8.2,0.627191649145276
"316",62.7,19.2,9.9,-0.324566859115181
"317",37.9,15.6,9.3,-1.23538951755798
"318",31.5,8.9,9.7,-0.918136681471165
"319",35.4,7.9,10,-0.703223469928481
"320",37.3,6.5,8.7,0.320172775512871
"321",39.3,1.4,9.3,0.25876900078639
"322",40.7,3,8.4,-0.416672521204903
"323",42.1,4.1,7.4,-0.682755545019654
"324",46.3,5.8,9.8,-0.498544220840211
"325",51.4,5.1,7.6,0.0950256015157733
"326",43.7,2.8,2.9,-0.242695159479873
"327",52.4,12.1,6.9,-2.61697444890381
"328",39.3,18.4,9.7,-1.31726121719329
"329",28.3,9.6,10,-0.795329132018203
"330",33.6,9.1,10,-1.05117819337854
"331",32.7,6.9,10,-1.19445366774033
"332",26.3,6.6,10,-1.09211404319619
"333",33.4,7.6,10,-0.590649882929932
"334",38.9,7.5,10,0.0131539018804651
"335",44.7,5.1,10,0.770467123507065
"336",42.8,5.6,6,1.46637657040718
"337",57.7,9.5,8.3,-0.754393282200549
"338",55.2,7.4,3.4,0.176897301151081
"339",56.6,11.8,10,0.0131539018804651
"340",37.2,7.9,10,-0.559947995566692
"341",36.7,8,10,-0.406438558750489
"342",43.4,6.2,8.9,-0.171057422298978
"343",39.7,9.4,8.9,-1.40936687928301
"344",38.6,8.2,7,-1.58334424100804
"345",35,9.8,8.3,-0.641819695202
"346",30.5,8.9,9.9,-0.918136681471165
"347",34.2,8.8,10,-0.0175479854827754
"348",39.1,12.3,10,-1.09211404319619
"349",39,5.7,10,0.402044475148179
"350",42.7,9.7,7.9,-0.590649882929932
"351",46,9.3,9,-1.28655932983005
"352",38.4,4.8,9.7,-0.887434794107924
"353",33.7,6.7,7.2,-0.662287620110827
"354",36.3,5.9,6.5,-0.396204596296076
"355",43,12.5,5.1,-0.897668756562338
"356",29.9,20.7,7.2,-1.3991329168286
"357",22.7,7,10,-1.88012915218604
"358",26.2,5.3,9.2,-1.5526423536448
"359",32.3,8,10,-2.11551028863755
"361",31.4,14.1,9.8,-3.01609898462594
"362",29.7,9.3,10,-2.37135934999788
"363",30.6,4.1,7.4,-0.621351770293173
"364",29.4,7.3,6,-1.12281593055944
"365",22.3,10.7,8.9,-2.13597821354637
"366",32.2,11.5,10,-1.79825745255073
"2100",17.1,6.3,10,-0.973372671740931
"367",25.8,9.3,8.7,-0.685885670993205
"410",22.5,12,10,0.309261639287385
